,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
3787,3787,MEJO, 379,Carroll,0143,MW,14:00 - 15:15,32,1900-01-01 14:00:00,1900-01-01 15:15:00
3734,3734,MEJO, 141,Carroll,0143,MW,18:15 - 19:30,45,1900-01-01 18:15:00,1900-01-01 19:30:00
3810,3810,MEJO, 490,Carroll,0253,M,16:00 - 18:45,21,1900-01-01 16:00:00,1900-01-01 18:45:00
3765,3765,MEJO, 253,Carroll,0268,MW,09:30 - 10:45,17,1900-01-01 09:30:00,1900-01-01 10:45:00
3726,3726,MEJO, 121,Carroll,0268,MW,14:00 - 15:15,19,1900-01-01 14:00:00,1900-01-01 15:15:00
3714,3714,MEJO, 121,Carroll,0268,MW,17:00 - 18:15,20,1900-01-01 17:00:00,1900-01-01 18:15:00
3811,3811,MEJO, 490,Carroll,0283,MW,09:30 - 10:45,18,1900-01-01 09:30:00,1900-01-01 10:45:00
3835,3835,MEJO, 673,Carroll,0283,MW,11:00 - 12:15,20,1900-01-01 11:00:00,1900-01-01 12:15:00
3781,3781,MEJO, 372,Carroll,0283,MW,12:30 - 13:45,32,1900-01-01 12:30:00,1900-01-01 13:45:00
3816,3816,MEJO, 531,Carroll,0283,MW,14:00 - 15:15,20,1900-01-01 14:00:00,1900-01-01 15:15:00
3784,3784,MEJO, 379,Carroll,0283,MW,15:30 - 16:45,35,1900-01-01 15:30:00,1900-01-01 16:45:00
3809,3809,MEJO, 490,Carroll,0283,MW,17:00 - 18:15,33,1900-01-01 17:00:00,1900-01-01 18:15:00
3841,3841,MEJO, 705,Carroll,0338,M,09:30 - 12:15,10,1900-01-01 09:30:00,1900-01-01 12:15:00
3854,3854,MEJO, 861,Carroll,0338,M,12:30 - 15:15,8,1900-01-01 12:30:00,1900-01-01 15:15:00
3837,3837,MEJO, 691H,Carroll,0338,MW,15:30 - 16:45,6,1900-01-01 15:30:00,1900-01-01 16:45:00
3843,3843,MEJO, 740,Carroll,0338,M,18:30 - 21:15,9,1900-01-01 18:30:00,1900-01-01 21:15:00
3853,3853,MEJO, 830,Carroll,340A,M,09:30 - 12:15,9,1900-01-01 09:30:00,1900-01-01 12:15:00
3834,3834,MEJO, 671,Carroll,340A,MW,12:30 - 13:45,18,1900-01-01 12:30:00,1900-01-01 13:45:00
953,953,DRAM, 231,Center for Dramatic ,0102,M,14:30 - 17:00,13,1900-01-01 14:30:00,1900-01-01 17:00:00
