,index,level_0,level_1,Bldg:,Room:,Days:,Time:,Class Enrl Tot:,start_time,end_time
2356,2356,PHYS, 115,Phillips,0275,MW,12:20 - 14:10,50,1900-01-01 12:30:00,1900-01-01 14:20:00
2357,2357,PHYS, 115,Phillips,0275,MW,14:30 - 16:20,48,1900-01-01 14:50:00,1900-01-01 16:40:00
2358,2358,PHYS, 115,Phillips,0275,MW,16:40 - 18:30,46,1900-01-01 17:10:00,1900-01-01 19:00:00
2359,2359,PHYS, 115,Phillips,0275,MW,18:50 - 20:40,0,1900-01-01 19:30:00,1900-01-01 21:20:00
2163,2163,MATH, 753,Phillips,0301,MWF,10:10 - 11:00,10,1900-01-01 10:10:00,1900-01-01 11:00:00
1961,1961,HIST, 783,Phillips,0301,W,16:00 - 18:30,9,1900-01-01 16:00:00,1900-01-01 18:30:00
3163,3163,SOCI, 124,Phillips,0328,MWF,10:10 - 11:00,36,1900-01-01 10:10:00,1900-01-01 11:00:00
3242,3242,WGST, 124,Phillips,0328,MWF,10:10 - 11:00,5,1900-01-01 11:30:00,1900-01-01 12:20:00
2381,2381,PHYS, 331,Phillips,0328,MWF,12:20 - 13:10,17,1900-01-01 12:50:00,1900-01-01 13:40:00
409,409,PRSN, 203,Phillips,0328,MWF,13:25 - 14:15,6,1900-01-01 14:10:00,1900-01-01 15:00:00
2031,2031,MATH, 110,Phillips,0332,MWF,08:00 - 08:50,51,1900-01-01 08:00:00,1900-01-01 08:50:00
2032,2032,MATH, 110,Phillips,0332,MWF,09:05 - 09:55,48,1900-01-01 09:20:00,1900-01-01 10:10:00
2126,2126,MATH, 381,Phillips,0332,MWF,10:10 - 11:00,44,1900-01-01 10:40:00,1900-01-01 11:30:00
2034,2034,MATH, 110,Phillips,0332,MWF,11:15 - 12:05,57,1900-01-01 12:00:00,1900-01-01 12:50:00
2035,2035,MATH, 110,Phillips,0332,MWF,13:25 - 14:15,55,1900-01-01 13:25:00,1900-01-01 14:15:00
2036,2036,MATH, 110,Phillips,0332,MWF,14:30 - 15:20,54,1900-01-01 14:45:00,1900-01-01 15:35:00
2047,2047,MATH, 130,Phillips,0335,MWF,09:05 - 09:55,71,1900-01-01 09:05:00,1900-01-01 09:55:00
2048,2048,MATH, 130,Phillips,0335,MWF,10:10 - 11:00,72,1900-01-01 10:25:00,1900-01-01 11:15:00
2049,2049,MATH, 130,Phillips,0335,MWF,11:15 - 12:05,73,1900-01-01 11:45:00,1900-01-01 12:35:00
2050,2050,MATH, 130,Phillips,0335,MWF,12:20 - 13:10,69,1900-01-01 13:05:00,1900-01-01 13:55:00
2051,2051,MATH, 130,Phillips,0335,MWF,13:25 - 14:15,70,1900-01-01 14:25:00,1900-01-01 15:15:00
2346,2346,PHYS, 114,Phillips,0335,MW,15:35 - 17:25,53,1900-01-01 15:45:00,1900-01-01 17:35:00
2347,2347,PHYS, 114,Phillips,0335,MW,17:45 - 19:35,51,1900-01-01 18:05:00,1900-01-01 19:55:00
542,542,BIOL, 434,Phillips,0367,MWF,10:10 - 11:00,17,1900-01-01 10:10:00,1900-01-01 11:00:00
2159,2159,MATH, 661,Phillips,0367,MWF,11:15 - 12:05,21,1900-01-01 11:30:00,1900-01-01 12:20:00
3935,3935,ENVR, 661,Phillips,0367,MWF,11:15 - 12:05,1,1900-01-01 12:50:00,1900-01-01 13:40:00
2158,2158,MATH, 657,Phillips,0381,MWF,09:05 - 09:55,8,1900-01-01 09:05:00,1900-01-01 09:55:00
2046,2046,MATH, 119,Phillips,0381,MWF,13:25 - 14:15,34,1900-01-01 13:25:00,1900-01-01 14:15:00
2142,2142,MATH, 523,Phillips,0381,MWF,14:30 - 15:20,22,1900-01-01 14:45:00,1900-01-01 15:35:00
2262,2262,PHIL, 101,Phillips,0383,MWF,12:20 - 13:10,40,1900-01-01 12:20:00,1900-01-01 13:10:00
2053,2053,MATH, 152,Phillips,0383,MWF,14:30 - 15:20,42,1900-01-01 14:30:00,1900-01-01 15:20:00
2038,2038,MATH, 118,Phillips,0385,MWF,11:15 - 12:05,41,1900-01-01 11:15:00,1900-01-01 12:05:00
2139,2139,MATH, 521,Phillips,0385,MWF,13:25 - 14:15,28,1900-01-01 13:25:00,1900-01-01 14:15:00
4006,4006,HPM, 691H,Rosenau (Public Heal,0123,W,10:10 - 13:10,10,1900-01-01 10:10:00,1900-01-01 13:10:00
4066,4066,PUBH, 500,Rosenau (Public Heal,0123,W,17:45 - 19:15,13,1900-01-01 17:45:00,1900-01-01 19:15:00
4087,4087,SPHG, 711,Rosenau (Public Heal,0133,MW,09:05 - 09:55,113,1900-01-01 09:05:00,1900-01-01 09:55:00
4088,4088,SPHG, 711,Rosenau (Public Heal,0133,MW,10:10 - 11:10,97,1900-01-01 10:25:00,1900-01-01 11:25:00
4084,4084,SPHG, 351,Rosenau (Public Heal,0133,MWF,11:15 - 12:05,56,1900-01-01 11:55:00,1900-01-01 12:45:00
4085,4085,SPHG, 351,Rosenau (Public Heal,0133,MWF,12:20 - 13:10,60,1900-01-01 13:15:00,1900-01-01 14:05:00
4049,4049,NUTR, 240,Rosenau (Public Heal,0133,MW,13:25 - 14:15,88,1900-01-01 14:35:00,1900-01-01 15:25:00
59,59,AMST, 175,Rosenau (Public Heal,0133,MW,15:35 - 16:25,27,1900-01-01 15:55:00,1900-01-01 16:45:00
162,162,ANTH, 175,Rosenau (Public Heal,0133,MW,15:35 - 16:25,28,1900-01-01 17:15:00,1900-01-01 18:05:00
4043,4043,NUTR, 175,Rosenau (Public Heal,0133,MW,15:35 - 16:25,34,1900-01-01 18:35:00,1900-01-01 19:25:00
4083,4083,SPHG, 101,Rosenau (Public Heal,0133,W,16:40 - 17:40,136,1900-01-01 19:55:00,1900-01-01 20:55:00
3919,3919,BIOS, 762,Rosenau (Public Heal,0228,W,11:15 - 13:15,37,1900-01-01 11:15:00,1900-01-01 13:15:00
3927,3927,ENVR, 430,Rosenau (Public Heal,0228,MWF,13:25 - 14:15,36,1900-01-01 13:45:00,1900-01-01 14:35:00
4061,4061,NUTR, 805,Rosenau (Public Heal,0228,W,14:30 - 17:00,35,1900-01-01 15:05:00,1900-01-01 17:35:00
3939,3939,ENVR, 755,Rosenau (Public Heal,0235,MW,10:10 - 11:25,11,1900-01-01 10:10:00,1900-01-01 11:25:00
3923,3923,ENVR, 400,Rosenau (Public Heal,0235,W,12:20 - 13:10,17,1900-01-01 12:20:00,1900-01-01 13:10:00
4027,4027,HPM, 880,Rosenau (Public Heal,0235,MW,13:25 - 15:20,23,1900-01-01 13:40:00,1900-01-01 15:35:00
3981,3981,HBEH, 730,Rosenau (Public Heal,0235,MW,15:35 - 16:50,47,1900-01-01 16:05:00,1900-01-01 17:20:00
4059,4059,NUTR, 705,Rosenau (Public Heal,0241,MWF,12:20 - 13:10,4,1900-01-01 12:20:00,1900-01-01 13:10:00
4063,4063,NUTR, 818,Rosenau (Public Heal,0241,W,14:30 - 17:00,7,1900-01-01 14:30:00,1900-01-01 17:00:00
922,922,COMP, 550,Sitterson,0011,MW,11:15 - 12:30,53,1900-01-01 11:15:00,1900-01-01 12:30:00
890,890,COMP, 290,Sitterson,0014,W,09:05 - 09:55,111,1900-01-01 09:05:00,1900-01-01 09:55:00
891,891,COMP, 290,Sitterson,0014,W,10:10 - 11:00,116,1900-01-01 10:25:00,1900-01-01 11:15:00
919,919,COMP, 530,Sitterson,0014,MW,11:15 - 12:30,76,1900-01-01 11:45:00,1900-01-01 13:00:00
930,930,COMP, 790,Sitterson,0115,MW,14:00 - 15:15,13,1900-01-01 14:00:00,1900-01-01 15:15:00
2498,2498,POLI, 100,Smith,0107,MWF,09:05 - 09:55,30,1900-01-01 09:05:00,1900-01-01 09:55:00
1994,1994,LING, 101,Smith,0107,MWF,10:10 - 11:00,23,1900-01-01 10:25:00,1900-01-01 11:15:00
2430,2430,PLAN, 745,Smith,0107,MW,11:15 - 12:30,22,1900-01-01 11:45:00,1900-01-01 13:00:00
2513,2513,POLI, 130,Stone Center,0103,MW,09:05 - 09:55,291,1900-01-01 09:05:00,1900-01-01 09:55:00
939,939,DRAM, 116,Stone Center,0103,MWF,10:10 - 11:00,119,1900-01-01 10:25:00,1900-01-01 11:15:00
940,940,DRAM, 116,Stone Center,0103,MWF,11:15 - 12:05,117,1900-01-01 11:45:00,1900-01-01 12:35:00
799,799,COMM, 120,Stone Center,0103,MW,13:25 - 14:15,108,1900-01-01 13:25:00,1900-01-01 14:15:00
3135,3135,MNGT, 120,Stone Center,0103,MW,13:25 - 14:15,28,1900-01-01 14:45:00,1900-01-01 15:35:00
2652,2652,PSYC, 101,Stone Center,0103,MWF,14:30 - 15:20,297,1900-01-01 16:05:00,1900-01-01 16:55:00
231,231,ANTH, 897,Stone Center,0200,W,09:30 - 12:00,9,1900-01-01 09:30:00,1900-01-01 12:00:00
846,846,COMM, 337,Stone Center,0200,W,15:15 - 16:30,12,1900-01-01 15:15:00,1900-01-01 16:30:00
2558,2558,POLI, 205,Stone Center,0209,MWF,09:05 - 09:55,21,1900-01-01 09:05:00,1900-01-01 09:55:00
3010,3010,SPAN, 105,Stone Center,0209,MWF,11:15 - 12:05,20,1900-01-01 11:15:00,1900-01-01 12:05:00
756,756,CLAS,  51,Stone Center,0209,MWF,14:30 - 15:20,24,1900-01-01 14:30:00,1900-01-01 15:20:00
700,700,CHEM, 421,Stone Center,0210,MWF,09:05 - 09:55,28,1900-01-01 09:05:00,1900-01-01 09:55:00
854,854,COMM, 463,Swain Hall,0104,MW,10:10 - 11:25,12,1900-01-01 10:10:00,1900-01-01 11:25:00
834,834,COMM, 230,Swain Hall,106A,MW,09:05 - 11:00,12,1900-01-01 09:05:00,1900-01-01 11:00:00
866,866,COMM, 654,Swain Hall,108A,MW,12:20 - 14:15,14,1900-01-01 12:20:00,1900-01-01 14:15:00
859,859,COMM, 534,Swain Hall,200A,MW,12:20 - 14:20,12,1900-01-01 12:20:00,1900-01-01 14:20:00
4154,4154,SOWO, 917,Tate Turner Kuralt,0102,W,09:00 - 11:50,13,1900-01-01 09:00:00,1900-01-01 11:50:00
4099,4099,SOWO, 490,Tate Turner Kuralt,0102,W,15:00 - 16:30,12,1900-01-01 15:00:00,1900-01-01 16:30:00
1755,1755,HIST, 120,Tate Turner Kuralt,0113,W,14:30 - 15:20,14,1900-01-01 14:30:00,1900-01-01 15:20:00
1949,1949,HIST, 585,Tate Turner Kuralt,0113,W,15:35 - 16:25,18,1900-01-01 15:50:00,1900-01-01 16:40:00
2542,2542,POLI, 150,Tate Turner Kuralt,0114,W,14:30 - 15:20,16,1900-01-01 14:30:00,1900-01-01 15:20:00
2544,2544,POLI, 150,Tate Turner Kuralt,0114,W,15:35 - 16:25,13,1900-01-01 15:50:00,1900-01-01 16:40:00
4152,4152,SOWO, 913,Tate Turner Kuralt,0439,W,09:00 - 11:50,7,1900-01-01 09:00:00,1900-01-01 11:50:00
4150,4150,SOWO, 900,Tate Turner Kuralt,226A,W,09:00 - 11:50,5,1900-01-01 09:00:00,1900-01-01 11:50:00
1954,1954,HIST, 585,Tate Turner Kuralt,226A,W,14:30 - 15:20,16,1900-01-01 14:30:00,1900-01-01 15:20:00
